Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
Q71UM5	V9HW01	51065		RPS27L	HEL-S-310	22863883:0401:LC|22939629:0401:LC
Q76L83	Q92560	55252	8314	ASXL2	BAP1	19815555:0004:LC|19615732:0004:LC|19615732:0007:LC|20805357:0401:LC
Q7KZF4	Q92731	27044	2100	SND1	ESR2	21182203:0004:HT
Q7KZF4	Q96BA7	27044		SND1	Q96BA7	22863883:0401:LC|22939629:0401:LC
Q7KZI7	Q7KZI7	2011	2011	MARK2	MARK2	20360068:0676:LC|20360068:0004:LC|19966800:0114:LC|16472737:0114:LC
Q7KZI7	Q92974	2011	9181	MARK2	ARHGEF2	19615732:0004:LC|22072711:0004:LC|19615732:0007:LC|21513698:0415:LC
Q7KZI7	Q9H4N8	2011		MARK2	Q9H4N8	19615732:0004:LC|14676191:0004:LC
Q7KZI7	Q9NQT8	2011	23303	MARK2	KIF13B	20194617:0415:LC|19615732:0004:LC|19615732:0007:LC|20194617:0004:LC|20194617:0096:LC
Q7KZI7	Q9UK80	2011	27005	MARK2	USP21	19615732:0004:LC|19615732:0007:LC|22298430:0004:LC
Q7KZI7	Q9Y4B5	2011	23255	MARK2	MTCL1	20360068:0004:LC|20360068:0676:LC|23902687:0096:LC|19615732:0004:LC|19615732:0007:LC|23902687:0004:LC
Q7KZI7	V9HW98	2011		MARK2	HEL2	16968750:0004:LC|17979178:0004:LC
Q7KZX8	Q92900		5976	Q7KZX8	UPF1	18423202:0004:LC|18256688:0004:LC|19417104:0004:LC|15657099:0064:LC|16452507:0004:LC
Q7L1Q6	Q99459	9689	988	BZW1	CDC5L	11101529:0004:LC|11101529:0401:LC|20467437:0006:LC
Q7L2H7	Q99613	10480	8663	EIF3M	EIF3C	22939629:0401:LC|23623729:0096:LC
Q7L2H7	Q9UBQ5	10480	27335	EIF3M	EIF3K	22939629:0401:LC|23623729:0096:LC
Q7L2H7	Q9Y262	10480	51386	EIF3M	EIF3L	22939629:0401:LC|23623729:0096:LC
Q7L2J0	Q86VP6	56257	55832	MEPCE	CAND1	17643375:0004:LC|21145461:0004:LC
Q7L4M3	Q9Y6K9		8517	Q7L4M3	IKBKG	20098747:0096:LC|21988832:0004:HT|20098747:0089:LC|21988832:0018:HT
Q7L523	Q8N122	10670	57521	RRAGA	RPTOR	21816923:0096:LC|24337580:0096:LC|18497260:0007:LC|21816923:0004:LC|18497260:0004:LC|25561175:0007:LC|23184942:0004:LC
Q7L523	Q9NQL2	10670	58528	RRAGA	RRAGD	11073942:0018:LC|11073942:0019:LC|11073942:0007:LC|11073942:0004:LC|11073942:0686:LC|22424946:0007:LC|15657099:0064:LC|25561175:0007:LC
