Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A1A5C7	Q7Z3S9	63027	388677	SLC22A23	NOTCH2NL	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1A5D2	P63000		5879	SNX26	RAC1	20936779:0018:HT
A1A5D9	Q6P597	146439	147700	CCDC64B	KLC3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1E959	Q9H0E2	54959	54472	ODAM	TOLLIP	21516116:0018:HT
A1L0T0	O60784	10994	10043	ILVBL	TOM1	21988832:0397:HT|21988832:0018:HT
A1L0T0	P12956	10994	2547	ILVBL	XRCC6	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A1L0T0	P54253	10994	6310	ILVBL	ATXN1	23275563:1112:HT|23275563:0018:HT
A1L0T0	Q8TAP6	10994	79959	ILVBL	CEP76	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L162	O00560	285141	6386	ERICH2	SDCBP	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L162	O75367	285141	9555	ERICH2	H2AFY	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L162	Q96ST2	285141	55677	ERICH2	IWS1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L190	Q96CS2	644186	115106	SYCE3	HAUS1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L190	Q9UL45	644186	26258	SYCE3	BLOC1S6	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L3X0	Q96EV8	79993	84062	ELOVL7	DTNBP1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L3X4	P50222	326343	4223	MT1DP	MEOX2	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L3X4	P60370	326343	386680	MT1DP	KRTAP10-5	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L3X4	P60411	326343	386676	MT1DP	KRTAP10-9	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L3Z8	Q5VTD9		8328	C20ORF12	GFI1B	16713569:0018:HT
A1L429	Q53SE7			GAGE12B;|GAGE12C;|GAGE12D;|GAGE12E	FLJ13057	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L429	Q8NEA9		64396	GAGE12B;|GAGE12C;|GAGE12D;|GAGE12E	GMCL1P1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L429	Q96IK5		64395	GAGE12B;|GAGE12C;|GAGE12D;|GAGE12E	GMCL1	25416956:0018:HT
A1L443	P62993	54754	2885	NUTM2F	GRB2	25416956:0018:HT
A1L443	Q8NDC4	54754	118812	NUTM2F	MORN4	25416956:0018:HT
A1L443	Q9UQR1	54754	7707	NUTM2F	ZNF148	25416956:0018:HT
A1L4H1	P37198	284297	23636	SSC5D	NUP62	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q13077	284297	7185	SSC5D	TRAF1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q13503	284297	9412	SSC5D	MED21	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q7Z6G3	284297	54550	SSC5D	NECAB2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q96EV8	284297	84062	SSC5D	DTNBP1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q96L14	284297	645455	SSC5D	CEP170P1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L4H1	Q9UPT5	284297	23265	SSC5D	EXOC7	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4H1	Q9Y6Y8	284297	11196	SSC5D	SEC23IP	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	O95835	123722	9113	FSD2	LATS1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	O95990	123722	11170	FSD2	FAM107A	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L4K1	P10768	123722	2098	FSD2	ESD	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	P17024	123722	7568	FSD2	ZNF20	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	P28070	123722	5692	FSD2	PSMB4	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	P29972	123722	358	FSD2	AQP1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	P31146	123722	11151	FSD2	CORO1A	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	P40426	123722	5090	FSD2	PBX3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q00994	123722	27018	FSD2	NGFRAP1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A1L4K1	Q06787	123722	2332	FSD2	FMR1	25416956:1356:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|24722188:0018:LC
A1L4K1	Q08117	123722	166	FSD2	AES	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A1L4K1	Q14324	123722	4606	FSD2	MYBPC2	23414517:0399:HT
A1L4K1	Q14738	123722	5528	FSD2	PPP2R5D	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
